"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","4846","TC009: Visual testing on instagram","chromium","2026-09-08","failed","2026-09-08","","smoke.spec.js","",""
"","3400","TC035: API testing using Playwright","chromium","2026-09-08","passed","2026-09-08","","smoke.spec.js","",""
"","19469","TC025: Handling horizontal scroll from left to right in playwright","chromium","2026-09-08","passed","2026-09-08","","smoke.spec.js","",""
"","5836","TC038: Browser context example","chromium","2026-09-08","passed","2026-09-08","","smoke.spec.js","",""
"","9455","get started link 2","chromium","2026-09-07","passed","2026-09-07","","example2.spec.js","",""
"","14818","@smoke TC044: Handling vertical scroll or scroll up/down in playwright using page.mouse.wheel","chromium","2026-09-08","passed","2026-09-08","","smoke.spec.js","",""
"","35474","TC017: Handling Frames in Playwright","chromium","2026-09-08","broken","2026-09-08","","smoke.spec.js","",""
"","19227","TC002: @smoke Dropdown validation in sauce demo website","chromium","2026-09-08","passed","2026-09-08","","smoke.spec.js","",""
"","4057","TC014: Handling Java script confirm pop-up - cancel","chromium","2026-09-08","passed","2026-09-08","","smoke.spec.js","",""
"","4252","TC001: Login to saucedemo application","chromium","2026-09-08","passed","2026-09-08","","smoke.spec.js","",""
"","30241","TC035: Playwright with inbuilt locators-4","chromium","2026-09-08","broken","2026-09-08","","smoke.spec.js","",""
"","11913","TC042: Browser context example without context fixture","chromium","2026-09-08","passed","2026-09-08","","smoke.spec.js","",""
"","10228","has title","chromium","2026-09-07","passed","2026-09-07","","example.spec.js","",""
"","4916","TC040: Multiple users using browser fixture with separate contexts","chromium","2026-09-08","passed","2026-09-08","","smoke.spec.js","",""
"","4567","TC012: Handling simple Java script alert","chromium","2026-09-08","passed","2026-09-08","","smoke.spec.js","",""
"","8655","TC011: Visual testing on Playwright with toHaveScreenshot","chromium","2026-09-08","failed","2026-09-08","","smoke.spec.js","",""
"","24243","TC039: Browser context example using context fixture","chromium","2026-09-08","passed","2026-09-08","","smoke.spec.js","",""
"","9044","get started link 3","chromium","2026-09-07","passed","2026-09-07","","example3.spec.js","",""
"","4352","TC020: auto suggestive dropdown or Auto suggestion in Playwright & print all suggestions with entire inner text","chromium","2026-09-08","passed","2026-09-08","","smoke.spec.js","",""
"","2927","TC007: @Regression login & logout of saucedemo using browser context","chromium","2026-09-08","passed","2026-09-08","","smoke.spec.js","",""
"","8689","TC041: Multiple pages using browser fixture in the same browser context","chromium","2026-09-08","passed","2026-09-08","","smoke.spec.js","",""
"","1599","TC006: List of products & find the sum of all prices from locators & also total of prices from array","chromium","2026-09-08","passed","2026-09-08","","smoke.spec.js","",""
"","13758","TC031: Drag & drop using Playwright","chromium","2026-09-08","failed","2026-09-08","","smoke.spec.js","",""
"","3203","TC004: @Regression login & logout of saucedemo","chromium","2026-09-08","passed","2026-09-08","","smoke.spec.js","",""
"","3090","TC036: API testing by importing request from Playwright","chromium","2026-09-08","passed","2026-09-08","","smoke.spec.js","",""
"","7708","TC026: Mouse hover using playwright","chromium","2026-09-08","passed","2026-09-08","","smoke.spec.js","",""
"","10246","TC008: File Upload test","chromium","2026-09-08","passed","2026-09-08","","smoke.spec.js","",""
"","16247","TC003: Navigation methods in playwright website","chromium","2026-09-08","passed","2026-09-08","","smoke.spec.js","",""
"","7718","TC015: Handling Java script prompt alert","chromium","2026-09-08","passed","2026-09-08","","smoke.spec.js","",""
"","2238","TC037: API testing by using request fixture from Playwright","chromium","2026-09-08","passed","2026-09-08","","smoke.spec.js","",""
"","1253","Sauce Demo login test","chromium","2026-09-08","passed","2026-09-08","","sauce-login.spec.js","",""
"","9633","has title 2","chromium","2026-09-07","passed","2026-09-07","","example2.spec.js","",""
"","1611","TC034: Playwright with inbuilt locators-3","chromium","2026-09-08","passed","2026-09-08","","smoke.spec.js","",""
"","3771","TC019: Auto Suggestive Dropdown in Playwright alternate","chromium","2026-09-08","passed","2026-09-08","","smoke.spec.js","",""
"","8376","has title 3","chromium","2026-09-07","passed","2026-09-07","","example3.spec.js","",""
"","8620","TC018: Keyboard events in Playwright","chromium","2026-09-08","passed","2026-09-08","","smoke.spec.js","",""
"","3027","TC016: Handling Webtables in Playwright","chromium","2026-09-08","passed","2026-09-08","","smoke.spec.js","",""
"","10318","TC001: Saucedmo end to end test using playwright","chromium","2026-09-07","passed","2026-09-07","","pageobject.spec.js","",""
"","17133","TC024: Handling vertical scroll or scroll up/down in playwright using css selector","chromium","2026-09-08","passed","2026-09-08","","smoke.spec.js","",""
"","8124","TC032: Playwright with inbuilt locators","chromium","2026-09-08","passed","2026-09-08","","smoke.spec.js","",""
"","5487","TC043: scrollIntoViewIfNeeded() method in playwright","chromium","2026-09-08","passed","2026-09-08","","smoke.spec.js","",""
"","5429","TC029: Radio button handling using Playwright","chromium","2026-09-08","passed","2026-09-08","","smoke.spec.js","",""
"","4283","TC021: auto suggestive dropdown or Auto suggestion in Playwright & print specific inner text","chromium","2026-09-08","passed","2026-09-08","","smoke.spec.js","",""
"","13190","TC028: Multiple tabs handling using Playwright","chromium","2026-09-08","passed","2026-09-08","","smoke.spec.js","",""
"","6763","TC022: auto suggestive dropdown or Auto suggestion in Playwright & print all text until the text is found & click on it","chromium","2026-09-08","passed","2026-09-08","","smoke.spec.js","",""
"","4422","TC027: HTTP Authentication using Playwright","chromium","2026-09-08","passed","2026-09-08","","smoke.spec.js","",""
"","3761","TC033: Playwright with inbuilt locators-2","chromium","2026-09-08","passed","2026-09-08","","smoke.spec.js","",""
"","6729","TC030: Radio button handling using Playwright part-2","chromium","2026-09-08","failed","2026-09-08","","smoke.spec.js","",""
"","2611","TC010: Visual testing on Playwright","chromium","2026-09-08","failed","2026-09-08","","smoke.spec.js","",""
"","9458","get started link","chromium","2026-09-07","passed","2026-09-07","","example.spec.js","",""
"","9442","TC023: Auto suggestive dropdown selection using Paytm","chromium","2026-09-08","passed","2026-09-08","","smoke.spec.js","",""
"","23976","TC045: Handling horizontal scroll from left to right in playwright using page.mouse.wheel function","chromium","2026-09-08","passed","2026-09-08","","smoke.spec.js","",""
"","4150","TC013: Handling Java script confirm pop-up - OK","chromium","2026-09-08","passed","2026-09-08","","smoke.spec.js","",""
"","1770","TC005: Try login to testmuai.com selenium-playground","chromium","2026-09-08","passed","2026-09-08","","smoke.spec.js","",""
